wave,flux,error
6464.770,1.334e-11,5.365e-14
6469.176,1.318e-11,5.334e-14
6473.581,1.312e-11,5.331e-14
6477.987,1.310e-11,5.326e-14
6482.393,1.270e-11,5.256e-14
6486.799,1.266e-11,5.251e-14
6491.205,1.211e-11,5.144e-14
6495.611,1.193e-11,5.108e-14
6500.018,1.209e-11,5.147e-14
6504.424,1.204e-11,5.139e-14
6508.831,1.202e-11,5.145e-14
6513.237,1.187e-11,5.119e-14
6517.644,1.175e-11,5.093e-14
6522.050,1.167e-11,5.082e-14
6526.457,1.138e-11,5.027e-14
6530.864,1.138e-11,5.032e-14
6535.271,1.075e-11,4.898e-14
6539.678,1.071e-11,4.894e-14
6544.085,1.031e-11,4.807e-14
6548.493,9.504e-12,4.622e-14
6552.900,8.930e-12,4.491e-14
6557.307,7.520e-12,4.133e-14
6561.715,7.211e-12,4.055e-14
6566.122,7.299e-12,4.074e-14
6570.530,7.392e-12,4.108e-14
6574.938,7.679e-12,4.195e-14
6579.346,7.918e-12,4.264e-14
6583.754,7.880e-12,4.245e-14
6588.161,7.681e-12,4.210e-14
6592.570,7.643e-12,4.195e-14
6596.978,7.709e-12,4.224e-14
6601.386,7.595e-12,4.191e-14
